Willie Allemang|Leonard Nimoy Demonstrates the Magnavision Videodisc Player (1981)
John Barry (II)|Lawrence of Arabia (1962)
Matthew Barry (I)|Ed Wood (1994)
Todd Barry|The Wrestler (2008)
Lionel Barrymore|It's a Wonderful Life (1946)
Paul Bartel (I)|The Usual Suspects (1995)
Bryan Barter|The Social Network (2010)
Roger Barth|Das Boot (1981)
John Bartha|Il buono, il brutto, il cattivo. (1966)
Benny Bartlett|Rear Window (1954)
Timothy Bartlett|The Lord of the Rings: The Fellowship of the Ring (2001)
Tommy Bartlett (I)|The Dark Knight (2008)
Larry Barton|Butch Cassidy and the Sundance Kid (1969)
Jay Baruchel|How to Train Your Dragon (2010)
Jay Baruchel|Million Dollar Baby (2004)
Max Barwyn|The Big Sleep (1946)
Bruno Baschiera|Roman Holiday (1953)
Richard Basehart|La strada (1954)
Mike Bash|The Social Network (2010)
Jeffrey Scott Basham|Gran Torino (2008)
Peter Basham|Inception (2010)
Salvatore Basile (I)|C'era una volta il West (1968)
Joe Basquez|Sin City (2005)
Frank Basso|The Manchurian Candidate (1962)
David Basulto|American History X (1998)
Joe Basulto|Touch of Evil (1958)
Dean Batchelor|Snatch. (2000)
Geoffrey Bateman|Leon (1994)
Billy Bates|The Usual Suspects (1995)
Eddie Bates|Million Dollar Baby (2004)
Jimmy Bates|Singin' in the Rain (1952)
Matthew Bates (II)|V for Vendetta (2006)
Michael Bates (I)|A Clockwork Orange (1971)
Michael Bates (I)|Patton (1970)
Paul Bateson|The Exorcist (1973)
Diego Batista|Cidade de Deus (2002)
Leandro Dias Batista|Cidade de Deus (2002)
Giulio Battiferri (I)|Ladri di biciclette (1948)
Joseph Bau|Schindler's List (1993)
David Bauer (I)|Patton (1970)
Hans-Uwe Bauer|Das Leben der Anderen (2006)
Steven Bauer|Scarface (1983)
Erik Bauersfeld|Star Wars: Episode VI - Return of the Jedi (1983)
Kai Ivo Baulitz|Das Leben der Anderen (2006)
Adam Bauman (I)|The Pianist (2002)
David Baxt|The Shining (1980)
Alan Baxter (I)|Judgment at Nuremberg (1961)
Dean Baykan|Le fabuleux destin d'Amelie Poulain (2001)
Terence Bayler|Life of Brian (1979)
Mark Bazeley|The Bourne Ultimatum (2007)
Guy Beach|High Noon (1952)
Scott Beach|Stand by Me (1986)
Scott Beach|Star Wars (1977)
Hallock Beals|Letters from Iwo Jima (2006)
Gregory Beam|The Dark Knight (2008)
Sean Bean|The Lord of the Rings: The Fellowship of the Ring (2001)
Sean Bean|The Lord of the Rings: The Return of the King (2003)
Sean Bean|The Lord of the Rings: The Two Towers (2002)
Bart the Bear (II)|Into the Wild (2007)
Lightning Bear|Star Wars (1977)
Lightning Bear|Star Wars: Episode V - The Empire Strikes Back (1980)
Leo Beard|King Kong (1933)
Rene Beard|Pulp Fiction (1994)
Robert Beard|The Deer Hunter (1978)
Stanley Beard (II)|Kind Hearts and Coronets (1949)
Martin Beaton|Saving Private Ryan (1998)
Lou Beatty Jr.|Fight Club (1999)
Ned Beatty|Network (1976)
Ned Beatty|Toy Story 3 (2010)
Robert Beatty (I)|2001: A Space Odyssey (1968)
Philippe Beautier|Le fabuleux destin d'Amelie Poulain (2001)
Robert Beauvais|Les quatre cents coups (1959)
Jim Beaver (I)|Magnolia (1999)
Buddy Beavers|Unforgiven (1992)
Glenn Beck (I)|2001: A Space Odyssey (1968)
Glenn Beck (I)|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
Roy Beck (I)|A Clockwork Orange (1971)
William Beck (II)|Snatch. (2000)
Graham Beckel|L.A. Confidential (1997)
Charles Becker|The Wizard of Oz (1939)
Corey Becker|Star Trek (2009)
Jean-Pierre Becker|Le fabuleux destin d'Amelie Poulain (2001)
Konrad Becker (I)|Das Boot (1981)
Tom Becker (I)|The Deer Hunter (1978)
Rodric Beckham|Stalag 17 (1953)
Andy Beckwith|Snatch. (2000)
Don Beddoe|The Best Years of Our Lives (1946)
Don Beddoe|The Night of the Hunter (1955)
John Beddows|Full Metal Jacket (1987)
David Bedella|Batman Begins (2005)
Alfonso Bedoya|The Treasure of the Sierra Madre (1948)
Bruce Beeby|Lawrence of Arabia (1962)
Richard P. Beedle|Stalag 17 (1953)
Dickey Beer|Star Wars: Episode VI - Return of the Jedi (1983)
Ed Begley (I)|12 Angry Men (1957)
Fred Behrle|King Kong (1933)
Jim Beidler|Into the Wild (2007)
Ulrich Beiger|The Great Escape (1963)
Matthew Beisner|Star Trek (2009)
Leon Belasco|Casablanca (1942)
Harry Belcher|The Third Man (1949)
Bob Bell (X)|There Will Be Blood (2007)
Bobby Bell (I)|Star Wars: Episode VI - Return of the Jedi (1983)
Daniel Bell (I)|Fanny och Alexander (1982)
Don Gordon Bell|Apocalypse Now (1979)
Fred Bell (I)|Paths of Glory (1957)
Jimmy Bell (I)|2001: A Space Odyssey (1968)
Marshall Bell|Stand by Me (1986)
Tobin Bell|Goodfellas (1990)
William Bell (IV)|The Gold Rush (1925)
Robert Bella|Magnolia (1999)
Ned Bellamy|Ed Wood (1994)
Ned Bellamy|The Shawshank Redemption (1994)
Ralph Bellamy|His Girl Friday (1940)
Ralph Bellamy|Rosemary's Baby (1968)
Nino Bellini|Casablanca (1942)
Thomas L. Bellissimo|American History X (1998)
Gregg Bello|Requiem for a Dream (2000)
Gregg Bello|The Wrestler (2008)
Denis Bellocq|Leon (1994)
Gil Bellows|The Shawshank Redemption (1994)
Richard Belzer|Scarface (1983)
Sigurd Bemme|Schindler's List (1993)
Dahn Ben Amotz|A Streetcar Named Desire (1951)
Mohamed Ben Kassen|La battaglia di Algeri (1966)
Peter Benchley|Jaws (1975)
Dirk Bender|Schindler's List (1993)
Lawrence Bender|Kill Bill: Vol. 2 (2004)
Lawrence Bender|Pulp Fiction (1994)
Lawrence Bender|Reservoir Dogs (1992)
Richard Bender|Dial M for Murder (1954)
Christian Bendomir|Das Boot (1981)
Brooks Benedict|It's a Wonderful Life (1946)
Brooks Benedict|Mr. Smith Goes to Washington (1939)
Brooks Benedict|Strangers on a Train (1951)
Harold Benedict|Paths of Glory (1957)
William 'Billy' Benedict|The Killing (1956)
William 'Billy' Benedict|The Sting (1973)
Wilson Benge|Mr. Smith Goes to Washington (1939)
Hubertus Bengsch|Das Boot (1981)
Ted Beniades|Scarface (1983)
Roberto Benigni|La vita e bella (1997)
Benkt-Ake Benktsson|Det sjunde inseglet (1957)
Patrick Benn|Full Metal Jacket (1987)
Alan Bennett (II)|Star Wars: Episode VI - Return of the Jedi (1983)
Blayne Bennett|The Dark Knight (2008)
Bruce Bennett (I)|The Treasure of the Sierra Madre (1948)
Charles Bennett (II)|Citizen Kane (1941)
Errol Bennett|The Princess Bride (1987)
Fred Bennett (I)|Lawrence of Arabia (1962)
Jeff Bennett (I)|Kaze no tani no Naushika (1984)
Jimmy Bennett (III)|Star Trek (2009)
John Bennett (I)|Lawrence of Arabia (1962)
John Bennett (I)|The Pianist (2002)
Michael Bennett (VIII)|In Bruges (2008)
Michael Bennett (VIII)|The Bourne Ultimatum (2007)
Scot Bennett|Die Hard (1988)
John Benson (I)|Vertigo (1958)
Robby Benson|Beauty and the Beast (1991)
Philip Bentham|No Country for Old Men (2007)
Maven Bentley (I)|The Wrestler (2008)
Wes Bentley|American Beauty (1999)
Michael Bentt|Million Dollar Baby (2004)
Nicky Benz|The Wrestler (2008)
Jarl Benzon|The Lord of the Rings: The Fellowship of the Ring (2001)
Jarl Benzon|The Lord of the Rings: The Two Towers (2002)
Jorn Benzon|The Lord of the Rings: The Fellowship of the Ring (2001)
Jorn Benzon|The Lord of the Rings: The Return of the King (2003)
Jorn Benzon|The Lord of the Rings: The Two Towers (2002)
John Beradino|North by Northwest (1959)
Ady Berber|Ben-Hur (1959)
Francois Bercovici|Le fabuleux destin d'Amelie Poulain (2001)
Oscar Beregi Jr.|Judgment at Nuremberg (1961)
Tom Berenger|Inception (2010)
Tom Berenger|Platoon (1986)
Greg Berg (I)|Toy Story (1995)
Jon Berg (I)|Star Wars (1977)
Bob Bergen (I)|Monsters, Inc. (2001)
Bob Bergen (I)|Sen to Chihiro no kamikakushi (2001)
Bob Bergen (I)|Up (2009)
Bob Bergen (I)|WALLE (2008)
Dan Bergin (I)|On the Waterfront (1954)
Henry Bergman (I)|City Lights (1931)
Henry Bergman (I)|Modern Times (1936)
Henry Bergman (I)|The Gold Rush (1925)
Henry Bergman (I)|The Kid (1921)
Mats Bergman|Fanny och Alexander (1982)
Joseph Bergmann|Raging Bull (1980)
Joseph Bergmann|Taxi Driver (1976)
Martin S. Bergmann|Schindler's List (1993)
Jean-Francois Bergouignan|Les quatre cents coups (1959)
Eric Bergren|The Elephant Man (1980)
Richard A. Berk|Raging Bull (1980)
Christian Berkel|Der Untergang (2004)
Christian Berkel|Inglourious Basterds (2009)
Xander Berkeley|Heat (1995)
Xander Berkeley|Terminator 2: Judgment Day (1991)
Steven Berkoff|A Clockwork Orange (1971)
Steven Berkoff|Barry Lyndon (1975)
Ennalls Berl|Terminator 2: Judgment Day (1991)
Andre Berley|La passion de Jeanne d'Arc (1928)
Thomas Bermingham|The Exorcist (1973)
Carlo Bernal|Amores perros (2000)
Joseph Bernard (I)|Judgment at Nuremberg (1961)
Joseph E. Bernard|It's a Wonderful Life (1946)
Luc Bernard|Leon (1994)
Joachim Bernhard|Das Boot (1981)
Francis Bernhardt|The Gold Rush (1925)
Wally K. Berns|Raging Bull (1980)
Walter Bernstein|Annie Hall (1977)
Michael Berry Jr.|Pirates of the Caribbean: The Curse of the Black Pearl (2003)
Michael Berry Jr.|Star Trek (2009)
Frank Berry (I)|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
John Berry (I)|Double Indemnity (1944)
Michael Berryman|One Flew Over the Cuckoo's Nest (1975)
Tommy Bertelsen|Ed Wood (1994)
Eugene Berthier|Le fabuleux destin d'Amelie Poulain (2001)
Aldo Berti|C'era una volta il West (1968)
Gino Bertin|Casino (1995)
Ricardo Bertoni (I)|Annie Hall (1977)
Jack Best|King Kong (1933)
Alexandre Bestavashvili|Children of Men (2006)
Doug Beswick|Star Wars (1977)
Dominique Bettenfeld|Le fabuleux destin d'Amelie Poulain (2001)
F.J. Beuaregard|The Gold Rush (1925)
Billy Bevan|Rebecca (1940)
Clem Bevans|Harvey (1950)
Dan Bevilacqua|Twelve Monkeys (1995)
Kenneth Bevington|Forrest Gump (1994)
Ken Bhan|Inception (2010)
Massimo Bianchi|La vita e bella (1997)
Abner Biberman|His Girl Friday (1940)
Andrew Bicknell|The Dark Knight (2008)
Leo Bieber|The Third Man (1949)
Michael Biehn|Aliens (1986)
Michael Biehn|Terminator 2: Judgment Day (1991)
Michael Biehn|The Terminator (1984)
Gerhard Bienert|M (1931)
Jean Paul Bierry|Amores perros (2000)
Don Bies (I)|Star Wars: Episode VI - Return of the Jedi (1983)
Lexie Bigham|Se7en (1995)
Salvatore Billa|Once Upon a Time in America (1984)
Homai Billimoria|Slumdog Millionaire (2008)
Hugh Billingsley|Ben-Hur (1959)
Stephen Billington|Braveheart (1995)
Carl Billquist|Fanny och Alexander (1982)
John Bindon|Barry Lyndon (1975)
Robert Binford|Ed Wood (1994)
Herman Bing|Sunrise: A Song of Two Humans (1927)
Sergio Bini Bustric|La vita e bella (1997)
Edward Binns|12 Angry Men (1957)
Edward Binns|Judgment at Nuremberg (1961)
Edward Binns|North by Northwest (1959)
Edward Binns|Patton (1970)
John Binns (I)|The Grapes of Wrath (1940)
Ben Binswagner|Star Trek (2009)
Paul Birch (I)|The Man Who Shot Liberty Valance (1962)
Paul Birch (I)|The Third Man (1949)
Paul Birchard (I)|The Dark Knight (2008)
Brad Bird (I)|Ratatouille (2007)
Brad Bird (I)|The Incredibles (2004)
Jack Bird|Ratatouille (2007)
Michael Bird (IV)|The Incredibles (2004)
Nicholas Bird (II)|Finding Nemo (2003)
Nicholas Bird (II)|The Incredibles (2004)
Jeremiah Birkett|L.A. Confidential (1997)
Steve Birtles|Lawrence of Arabia (1962)
Anthony Bishop (III)|District 9 (2009)
Ed Bishop (I)|2001: A Space Odyssey (1968)
Larry Bishop|Kill Bill: Vol. 2 (2004)
Ilario Bisi-Pedro|Children of Men (2006)
Sergio Bispo|Cidade de Deus (2002)
Whit Bissell|The Manchurian Candidate (1962)
Joel Bissonnette|Fight Club (1999)
Henryk Bista|Schindler's List (1993)
Erwin Biswanger|Metropolis (1927)
Raja Biswas|Gandhi (1982)
Vincent Bivona|The Departed (2006)
Bjorn Bjelfvenstam|Smultronstallet (1957)
Gunnar Bjornstrand|Det sjunde inseglet (1957)
Gunnar Bjornstrand|Fanny och Alexander (1982)
Gunnar Bjornstrand|Persona (1966)
Gunnar Bjornstrand|Smultronstallet (1957)
Mikey Black|Goodfellas (1990)
Samuel Lord Black|Monsters, Inc. (2001)
Don Blackman (I)|On the Waterfront (1954)
Jeremy Blackman (I)|Magnolia (1999)
John Blackman (V)|Star Trek (2009)
Sidney Blackmer (I)|Rosemary's Baby (1968)
Danny Blackner|Star Wars: Episode VI - Return of the Jedi (1983)
Peter Blackwell|Heat (1995)
Vas Blackwood|Lock, Stock and Two Smoking Barrels (1998)
Andrey Blagoslovenski|Der Untergang (2004)
Michael Blain-Rozgay|Avatar (2009)
D.J. Blair|Raging Bull (1980)
David Blair (IV)|Singin' in the Rain (1952)
Gerry Blair|Avatar (2009)
Nicky Blair (I)|The Manchurian Candidate (1962)
Ron Blair (I)|Se7en (1995)
John Blaisse|Twelve Monkeys (1995)
Andre B. Blake|The Silence of the Lambs (1991)
Clement Blake|Magnolia (1999)
Geoffrey Blake|Forrest Gump (1994)
Joel Blake (I)|Goodfellas (1990)
Larry J. Blake|High Noon (1952)
Larry J. Blake|Sunset Blvd. (1950)
Matty Blake|Mystic River (2003)
Nick Blake (I)|District 9 (2009)
Oliver Blake|Casablanca (1942)
Paul Blake (II)|Star Wars (1977)
Robert Blake (I)|The Treasure of the Sierra Madre (1948)
Don Blakely|Pulp Fiction (1994)
Douglas Blakeslee|Groundhog Day (1993)
Sebastian Blanco|El secreto de sus ojos (2009)
Tomas Blanco (I)|Per qualche dollaro in piu (1965)
Johnnie Bland|King Kong (1933)
William Peter Blatty|The Exorcist (1973)
Josh Blaylock (I)|No Country for Old Men (2007)
Jan Blazek|Amadeus (1984)
Andrew Blesser|Mystic River (2003)
Billy Bletcher|The Wizard of Oz (1939)
F. Blinn|The Kid (1921)
Ludwig Blochberger|Das Leben der Anderen (2006)
Rudy Blomme|In Bruges (2008)
Willi One Blood|Leon (1994)
Brian Bloom|Once Upon a Time in America (1984)
John Bloom (I)|Casino (1995)
Orlando Bloom|Pirates of the Caribbean: The Curse of the Black Pearl (2003)
Orlando Bloom|The Lord of the Rings: The Fellowship of the Ring (2001)
Orlando Bloom|The Lord of the Rings: The Return of the King (2003)
Orlando Bloom|The Lord of the Rings: The Two Towers (2002)
Monte Blue|Casablanca (1942)
Lennie Bluett|Gone with the Wind (1939)
Stuart Blumberg|Fight Club (1999)
Andrzej Blumenfeld|The Pianist (2002)
E. Blumenthal|The Gold Rush (1925)
Stanley Blystone|Modern Times (1936)
Rudolf Blumner|M (1931)
Bruce Boa|Full Metal Jacket (1987)
Bruce Boa|Star Wars: Episode V - The Empire Strikes Back (1980)
John Boas|Festen (1998)
Gildo Bocci|Roman Holiday (1953)
Herbert Boche|Ed Wood (1994)
Hart Bochner|Die Hard (1988)
Bob Bock|There Will Be Blood (2007)
Rainer Bock|Inglourious Basterds (2009)
Martin Boddey|The Third Man (1949)
Alex Boden|Inglourious Basterds (2009)
Mike Bodnar|Avatar (2009)
Bain Boehlke|Fargo (1996)
Jim Boeke|Forrest Gump (1994)
Earl Boen|Terminator 2: Judgment Day (1991)
Earl Boen|The Terminator (1984)
Andrea Boerries|Ratatouille (2007)
Marco Boerries|Ratatouille (2007)
Ernesto Bog|Amores perros (2000)
Humphrey Bogart|Casablanca (1942)
Humphrey Bogart|The Big Sleep (1946)
Humphrey Bogart|The Maltese Falcon (1941)
Humphrey Bogart|The Treasure of the Sierra Madre (1948)
William Bogert|Dog Day Afternoon (1975)
Christoffer Bohlin|Lat den ratte komma in (2008)
Jurgen Bohn|La vita e bella (1997)
Merritt Bohn|The Manchurian Candidate (1962)
Bruce Bohne|Fargo (1996)
Roman Bohnen|The Best Years of Our Lives (1946)
Curt Bois|Casablanca (1942)
Eddie Boland|King Kong (1933)
Eddie Boland|Sunrise: A Song of Two Humans (1927)
Bill Bolender|The Shawshank Redemption (1994)
Glen Boles|All Quiet on the Western Front (1930)
Ray Bolger|The Wizard of Oz (1939)
Nick Bolin|The Manchurian Candidate (1962)
Matthias Bolliger (II)|Fanny och Alexander (1982)
Stephen Bolster|North by Northwest (1959)
Robert Bolt|Lawrence of Arabia (1962)
Luciano Bonanni|Le notti di Cabiria (1957)
Fortunio Bonanova|Citizen Kane (1941)
Fortunio Bonanova|Double Indemnity (1944)
Vincent Bonasso|Gran Torino (2008)
Peter Bond (III)|The Wrestler (2008)
Rudy Bond|12 Angry Men (1957)
Rudy Bond|A Streetcar Named Desire (1951)
Rudy Bond|On the Waterfront (1954)
Rudy Bond|The Godfather (1972)
Ward Bond|Gone with the Wind (1939)
Ward Bond|It Happened One Night (1934)
Ward Bond|It's a Wonderful Life (1946)
Ward Bond|The Grapes of Wrath (1940)
Ward Bond|The Maltese Falcon (1941)
Klaus Bondam|Festen (1998)
Eugenie Bondurant|Fight Club (1999)
Richard Bonehill|Star Wars: Episode V - The Empire Strikes Back (1980)
Richard Bonehill|Star Wars: Episode VI - Return of the Jedi (1983)
Khan Bonfils|Batman Begins (2005)
Olivier Bonjour|In Bruges (2008)
Gerard Bonn|Die Hard (1988)
Jean-Pierre Bonnefous|Les diaboliques (1955)
Franck-Olivier Bonnet|Le fabuleux destin d'Amelie Poulain (2001)
Lawrence A. Bonney|The Silence of the Lambs (1991)
Joseph Bono|Casino (1995)
Joseph Bono|Goodfellas (1990)
Joseph Bono|Raging Bull (1980)
Candido Bonsato|Notorious (1946)
Mark Boone Junior|Batman Begins (2005)
Mark Boone Junior|Memento (2000)
Mark Boone Junior|Se7en (1995)
H. Gordon Boos|Platoon (1986)
Roger Booth (I)|Barry Lyndon (1975)
Tim Booth (I)|Batman Begins (2005)
Powers Boothe|Sin City (2005)
Nick Boraine|District 9 (2009)
Dirk Borchardt|Der Untergang (2004)
Joe Bordeaux|The Grapes of Wrath (1940)
Joe Bordeaux|The Great Dictator (1940)
Eugene Borden|All About Eve (1950)
Eugene Borden|Casablanca (1942)
Jeffrey Thomas Border|The Social Network (2010)
Nick Borgani|Rear Window (1954)
Micael Borges|Cidade de Deus (2002)
Eric Bruno Borgman|Mystic River (2003)
Eric Bruno Borgman|The Departed (2006)
Ernest Borgnine|The Wild Bunch (1969)
Gene Borkan|Se7en (1995)
Gene Borkan|The Silence of the Lambs (1991)
Gregory Borlein|Der Untergang (2004)
Tor Borong|Det sjunde inseglet (1957)
Danny Borzage|Citizen Kane (1941)
Danny Borzage|The Man Who Shot Liberty Valance (1962)
Brian Bossetta|L.A. Confidential (1997)
David Boston (IV)|The Bourne Ultimatum (2007)
David Boston (IV)|The Departed (2006)
John Boswall|Pirates of the Caribbean: The Curse of the Black Pearl (2003)
Charles Boswell|Forrest Gump (1994)
Wade Boteler|Duck Soup (1933)
Wade Boteler|His Girl Friday (1940)
Wade Boteler|Mr. Smith Goes to Washington (1939)
Morne Botes|Batman Begins (2005)
Dick Botiller|Casablanca (1942)
Sam Bottoms (I)|Apocalypse Now (1979)
Mathew Botuchis|Letters from Iwo Jima (2006)
Steve Boucher|Full Metal Jacket (1987)
Willis Bouchey|The Man Who Shot Liberty Valance (1962)
Bouchon|Les quatre cents coups (1959)
Charles-Roger Bour|Le fabuleux destin d'Amelie Poulain (2001)
Anderson Bourell|Fight Club (1999)
Simmy Bow|Rocky (1976)
Jack Bowden (I)|Forrest Gump (1994)
Douglass Bowen Flynn|Mystic River (2003)
Cameron Bowen|Mystic River (2003)
Harry Bowen|King Kong (1933)
Michael Bowen (I)|Kill Bill: Vol. 1 (2003)
Michael Bowen (I)|Magnolia (1999)
P. Randall Bowers|Die Hard (1988)
William Bowers (I)|The Godfather: Part II (1974)
Bob Bowersox|The Sixth Sense (1999)
David Bowie|The Prestige (2006)
Grady Bowman|Forrest Gump (1994)
Matthew Bowyer (I)|Pirates of the Caribbean: The Curse of the Black Pearl (2003)
John Boxer (II)|Gandhi (1982)
John Boxer (II)|The Bridge on the River Kwai (1957)
Thomas Boxhammer|Das Boot (1981)
Sully Boyar|Dog Day Afternoon (1975)
Jim Boyce|Ed Wood (1994)
Rodger Boyce|No Country for Old Men (2007)
Billy Boyd (I)|The Lord of the Rings: The Fellowship of the Ring (2001)
Billy Boyd (I)|The Lord of the Rings: The Return of the King (2003)
Billy Boyd (I)|The Lord of the Rings: The Two Towers (2002)
Cayden Boyd|Mystic River (2003)
Stephen Boyd (I)|Ben-Hur (1959)
Callum Boyens|The Lord of the Rings: The Two Towers (2002)
Billy Boyle (I)|Barry Lyndon (1975)
Peter Boyle (I)|Taxi Driver (1976)
Leon Brace|The Grapes of Wrath (1940)
Sidney Bracey|Duck Soup (1933)
Sidney Bracey|Sunrise: A Song of Two Humans (1927)
Tadeusz Bradecki|Schindler's List (1993)
William Bradford (II)|The Gold Rush (1925)
Harry C. Bradley|His Girl Friday (1940)
Harry C. Bradley|It Happened One Night (1934)
Harry C. Bradley|Mr. Smith Goes to Washington (1939)
James Bradley (I)|Cool Hand Luke (1967)
Mike Bradley (I)|Casino (1995)
Paul Bradley (VI)|The Pianist (2002)
Spencer Bradley|Goodfellas (1990)
Oliver Bradshaw|V for Vendetta (2006)
Brandon Brady|Patton (1970)
Louis Martin Braga III|The Incredibles (2004)
Bartolomeu Braga|Cidade de Deus (2002)
Henry Brahe|The Grapes of Wrath (1940)
Jake Brake|Big Fish (2003)
Richard Brake|Batman Begins (2005)
John Brakins|King Kong (1933)
Martin Brambach|Das Leben der Anderen (2006)
Mark Bramhall|Star Trek (2009)
Virgile Bramly|Inception (2010)
Tom Branch (I)|Indiana Jones and the Last Crusade (1989)
Neville Brand|Stalag 17 (1953)
Larry Brandenburg|Fargo (1996)
Larry Brandenburg|The Shawshank Redemption (1994)
Michael Brandner|Der Untergang (2004)
Marlon Brando|A Streetcar Named Desire (1951)
Marlon Brando|Apocalypse Now (1979)
Marlon Brando|On the Waterfront (1954)
Marlon Brando|The Godfather (1972)
John Brandon (I)|Scarface (1983)
Martin Brandt (I)|Judgment at Nuremberg (1961)
Max Brandt (I)|The Godfather (1972)
Nils Brandt (I)|Fanny och Alexander (1982)
Salvadore Brandt|Inglourious Basterds (2009)
Chuck Brauchler|The Shawshank Redemption (1994)
Asher Brauner|Judgment at Nuremberg (1961)
Constantino Bravos|Toy Story 3 (2010)
Frank Brana|C'era una volta il West (1968)
Frank Brana|Il buono, il brutto, il cattivo. (1966)
Frank Brana|Per qualche dollaro in piu (1965)
George P. Breakston|It Happened One Night (1934)
George P. Breakston|The Grapes of Wrath (1940)
Egon Brecher|Rebecca (1940)
Edmund Breese|All Quiet on the Western Front (1930)
Edmund Breese|Duck Soup (1933)
Mario Brega (I)|Il buono, il brutto, il cattivo. (1966)
Mario Brega (I)|Once Upon a Time in America (1984)
Mario Brega (I)|Per qualche dollaro in piu (1965)
Stanislaw Brejdygant|Schindler's List (1993)
Ewen Bremner (I)|Snatch. (2000)
Ewen Bremner (I)|Trainspotting (1996)
Al Breneman|Some Like It Hot (1959)
Matthias Brenner|Das Leben der Anderen (2006)
Lynton Brent|King Kong (1933)
Lynton Brent|Mr. Smith Goes to Washington (1939)
Robert Brent|Citizen Kane (1941)
Roy Brent|King Kong (1933)
Kevin Breslin|Raging Bull (1980)
Carl Bressler|The Usual Suspects (1995)
Peter Brett|Life of Brian (1979)
Matthew Allen Bretz|L.A. Confidential (1997)
Siegfried Breuer|The Third Man (1949)
Andrew Breving|The Departed (2006)
Bob Brewer (I)|Magnolia (1999)
Bobby Brewer|Magnolia (1999)
Ed Brewer (I)|Mr. Smith Goes to Washington (1939)
Mike Breyer|Ed Wood (1994)
Kevin Breznahan|Magnolia (1999)
Kevin Breznahan|There Will Be Blood (2007)
Jean-Claude Brialy|Les quatre cents coups (1959)
Joe Bricher|The General (1926)
Al Bridge|Double Indemnity (1944)
Al Bridge|It's a Wonderful Life (1946)
Al Bridge|Mr. Smith Goes to Washington (1939)
Al Bridge|Strangers on a Train (1951)
Al Bridge|The Best Years of Our Lives (1946)
Derrick Bridgeman|Good Will Hunting (1997)
Jeff Bridges (I)|The Big Lebowski (1998)
Lloyd Bridges|High Noon (1952)
Stephen Bridgewater|Forrest Gump (1994)
Stephen Bridgewater|Twelve Monkeys (1995)
Anthony 'Chip' Brienza|Twelve Monkeys (1995)
Maurice Brierre|Casablanca (1942)
Harlan Briggs|Mr. Smith Goes to Washington (1939)
Leon Briggs|Paths of Glory (1957)
Charlie Bright|Toy Story 3 (2010)
Richard Bright (I)|Once Upon a Time in America (1984)
Richard Bright (I)|The Godfather (1972)
Richard Bright (I)|The Godfather: Part II (1974)
Wilford Brimley|The Thing (1982)
David Brisbin (I)|Forrest Gump (1994)
Brent Briscoe|The Green Mile (1999)
Jean-Pol Brissart|Le fabuleux destin d'Amelie Poulain (2001)
John E. Bristol|The Terminator (1984)
Darrell Britt|American History X (1998)
Leo Britt|Dial M for Murder (1954)
Christopher Britton (II)|Good Will Hunting (1997)
Kent Broadhurst|Leon (1994)
Philippe de Broca|Les quatre cents coups (1959)
Christian Brocard|Les quatre cents coups (1959)
Peter Brocco|One Flew Over the Cuckoo's Nest (1975)
Jean Brochard|Les diaboliques (1955)
George Brock (III)|The Gold Rush (1925)
Don Brockett|The Silence of the Lambs (1991)
Josh Broder (I)|The Silence of the Lambs (1991)
Charley Broderick|Mystic River (2003)
James Broderick (I)|Dog Day Afternoon (1975)
Matthew Broderick (I)|The Lion King (1994)
Buster Brodie|City Lights (1931)
Buster Brodie|The Grapes of Wrath (1940)
Buster Brodie|The Wizard of Oz (1939)
Don Brodie|Harvey (1950)
Don Brodie|The Great Dictator (1940)
Adrien Brody|The Pianist (2002)
Jon Lee Brody|The Dark Knight (2008)
Pete Brogan|The Gold Rush (1925)
Josh Brolin|No Country for Old Men (2007)
Brolly|The Wrestler (2008)
William Bronder|Stand by Me (1986)
Paul Bronk|Mystic River (2003)
Charles Bronson|C'era una volta il West (1968)
Charles Bronson|The Great Escape (1963)
Sebastian Brook|Rosemary's Baby (1968)
Andrew Brooke (I)|Children of Men (2006)
Paul Brooke (I)|Star Wars: Episode VI - Return of the Jedi (1983)
Peter Brooke (I)|The Dark Knight (2008)
Tyler Brooke|The Wizard of Oz (1939)
Walter Brooke|The Graduate (1967)
Albert Brooks (I)|Finding Nemo (2003)
Albert Brooks (I)|Taxi Driver (1976)
Avery Brooks (I)|American History X (1998)
Conrad Brooks|Ed Wood (1994)
Dean R. Brooks|One Flew Over the Cuckoo's Nest (1975)
Jason Brooks (I)|Star Trek (2009)
Nick Brooks (I)|Saving Private Ryan (1998)
Ralph Brooks|All About Eve (1950)
Ralph Brooks|Gone with the Wind (1939)
Rand Brooks|Gone with the Wind (1939)
Randy Brooks (I)|Reservoir Dogs (1992)
Brian Brophy|The Shawshank Redemption (1994)
Jed Brophy|District 9 (2009)
Jed Brophy|The Lord of the Rings: The Return of the King (2003)
Jed Brophy|The Lord of the Rings: The Two Towers (2002)
Sadwyn Brophy|The Lord of the Rings: The Return of the King (2003)
Rick Bross|Die Hard (1988)
James Brought|Citizen Kane (1941)
Matt Broughton (II)|Toy Story 3 (2010)
Bruce Gerard Brown Jr.|Million Dollar Baby (2004)
